,nb_ite,timer_LM_v1,perf_LM_v1,timer_LM_v2,perf_LM_v2,timer_LM_v3,perf_LM_v3,timer_json_v1,perf_json_v1,timer_json_v3,perf_json_v3,timer_var_v1,perf_var_v1,timer_var_v2,perf_var_v2,timer_var_v3,perf_var_v3
29,2930,2.33,0.00021518161602260833,2.57,0.00015994414209794528,3.39,0.0002717679412020502,1.98,3.4816509124033943,3.67,2.905424101546522,2.25,0.00013056879743587047,2.51,0.00016746889846404046,3.35,0.00010894007515043214
30,3030,2.39,0.00021633549968980148,2.67,0.00020546220807640125,3.41,0.0003558235326413417,2.02,3.2755674008228284,3.63,3.1569110902178275,2.36,5.758397601294263e-05,2.6,0.00017861822270672789,3.52,0.0002044903188570757
31,3130,2.5,0.00012914140575190914,2.75,0.00016363673802510803,3.56,4.0480168908452185e-05,2.11,3.0050335111381075,3.62,3.2622220824994663,2.46,0.0003426197972485667,2.67,0.0002583317057085921,3.48,0.00012962535003744336
32,3230,2.58,0.00014019754115635052,2.83,0.00023953780248486822,3.39,0.0003275435077260802,2.21,3.52704477863528,3.74,3.159331227282315,2.53,0.00012439025476354004,2.76,0.00012643074706364388,3.66,0.00010887141009332523
33,3330,2.69,0.00013534545463560476,2.92,0.0002489899537104101,3.51,8.052388580708225e-05,2.25,2.403065512894544,3.78,3.0667229078002007,2.67,0.0001543729871584354,2.91,7.212499302662323e-05,3.6,8.89051710347033e-05
34,3430,2.73,8.596729026528749e-05,2.99,0.0001786045804907488,3.6,0.0001392045908906958,2.31,3.6100225806988093,3.63,2.7713983353571656,2.66,0.00019446839030683448,2.92,0.00010269761788030962,3.65,0.0001430722563100062
35,3530,2.81,8.574805906365057e-05,3.08,0.00014801029227911043,3.49,0.00011352843848166927,2.31,2.727575504927511,3.74,4.16678349123212,2.76,6.186116506805562e-05,3.03,0.0001171086088049833,3.53,0.00011300055654679397
36,3630,2.84,6.644989820152603e-05,3.18,0.00022981965997290744,3.56,9.319642452636501e-05,2.43,2.6015953701416534,4.06,2.901585826598125,2.8,3.56938452319433e-05,3.11,0.00021789405703191987,3.56,0.0001268135434095541
37,3730,2.94,0.00012647075723952738,3.27,6.68527009710651e-05,3.6,0.00012405913843638317,2.48,3.540903659797988,3.64,4.309094420652093,2.86,7.376297096488571e-05,3.16,0.00020245689432458748,3.6,0.00013655876858740257
38,3830,3.03,0.000265757249207077,3.33,0.00017987765611051642,3.53,0.00012242281496241958,2.54,2.9318500663724136,3.84,4.49922198423436,2.99,4.387414193409711e-05,3.29,5.199293055975218e-05,3.62,9.602712478526954e-05
39,3930,3.12,9.554260277910842e-05,3.42,9.139620886324806e-05,3.4,6.720980994963099e-05,2.54,4.3366025593892745,3.85,3.6824035218543236,3.03,0.00020382827583036444,3.33,0.00017911627336015813,3.68,6.657154330964587e-05
40,4030,3.18,7.810607253873058e-05,3.51,0.00022000995409428016,3.58,0.00021868756466645323,2.6,2.744904109033174,3.74,2.6301330363514523,3.1,6.864689449042061e-05,3.42,0.00018694870077116122,3.58,6.918418446559827e-05
41,4130,3.22,2.7706338845678857e-05,3.6,7.69570121667229e-05,3.63,4.7291176733477156e-05,2.69,2.938351100971158,3.72,3.6384934818885952,3.16,0.00019755261212495157,3.5,7.652195245277937e-05,3.6,7.204287681901178e-05
42,4230,3.29,3.45195675628851e-05,3.74,2.4196905864393158e-05,3.55,5.9032512566847825e-05,2.72,3.8461591326447526,3.84,3.0126299304674915,3.23,3.243946884285975e-05,3.6,6.017986376027906e-05,3.67,7.392246140893732e-05
43,4330,3.38,9.134005168123238e-05,3.78,6.364897075599174e-05,3.76,4.370324548794713e-05,2.82,2.5314396855916246,3.9,4.53957680932614,3.33,5.116737899015789e-05,3.67,6.027625717432983e-05,3.53,5.263225624547729e-05
44,4430,3.47,0.00010494271003347322,3.86,6.931618964891583e-05,3.68,0.00016348167427855388,2.91,3.998876427853984,3.9,3.304563163172548,3.38,6.050335420990649e-05,3.77,0.00017964839905841855,3.67,6.451443608819218e-05
45,4530,3.52,6.633683139600777e-05,3.94,8.974177583684906e-05,3.61,7.948182956196703e-05,2.96,3.4800729001406077,3.97,2.7929915177694067,3.47,0.0001453120382707951,3.86,4.813518288484531e-05,3.58,5.9070527975713105e-05
46,4630,3.6,9.799725189241215e-05,4.04,9.344807320772474e-05,3.75,7.093230227894765e-05,2.99,3.258093039533815,3.98,3.256730890675867,3.53,5.965889791390566e-05,3.93,7.349592479544143e-05,3.68,0.00010917933294889437
47,4730,3.76,8.734545215292045e-05,4.13,9.01576437645879e-05,3.68,5.7292608345616e-05,3.09,3.288560717157361,3.93,2.172701561961638,3.65,4.7416680272327484e-05,4.02,5.0227076978792697e-05,3.73,6.076221583466435e-05
48,4830,3.77,6.68377618256777e-05,4.21,6.943020520955301e-05,3.78,0.00010336854366190806,3.13,3.547846325632908,4.0,3.703835423399872,3.65,3.787801189618634e-05,4.1,0.00010610601529030817,3.63,0.00013295174115395269
49,4930,3.81,7.21111119064588e-05,4.29,4.468286289878165e-05,3.69,4.3603441592576785e-05,3.23,2.899176680951051,4.11,3.7804539821878755,3.77,6.006940790843629e-05,4.23,4.60776800638385e-05,3.82,4.060655902460297e-05
